,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,,%,,,,,,,,,,
1,.,,,,,,,,,,,
2,"3,158.4  150.40",5,0.0,-201.60,1,224.0,15.0,1.0,CAR,,,96304.0
3,0,,,,,,,,,24 *  12,1.0,
4,"5,264.0  250.67",5,0.0,-336.00,1,224.0,25.0,1.0,CAR,,,96307.0
5,0,,,,,,,,,,,
6,,,,,,,,,,1 1,,
7,".15,792  752.00",5,0.0,"1,008.00",1,224.0,75.0,1.0,CAR,,,96304.0
8,00,,,-,,,,,,24 *  12,1.0,
9,".10,528  501.33",5,0.0,-672.00,1,224.0,50.0,1.0,CAR,,,96307.0
10,00,,,,,,,,,,,
11,,,,,,,,,,1 1,,
12,".16,074  765.43",5,0.0,"1,026.00",2,228.0,75.0,1.0,CAR,*  12   2,,96237.0
13,00,,,-,12*12,,,,,12,,
14,"2,679.0  329.00",14,0.0,-171.00,1,114.0,25.0,1.0,CAR,-,,96245.0
15,0,,,,12*12,,,,,12 1,,
16,,,,,,,,,,12*,,
17,"5,358.0  658.00",14,0.0,-342.00,1,114.0,50.0,1.0,CAR,-,,96246.0
18,0,,,,12*12,,,,,12 1,,
19,,,,,,,,,,12*,,
20,"2,679.0  329.00",14,0.0,-171.00,1,114.0,25.0,1.0,CAR,12 1,,96252.0
21,0,,,,12*12,,,,,12*,,
22,"8,037.0  382.71",5,0.0,-513.00,1,114.0,75.0,1.0,CAR,12 1,,96253.0
23,0,,,,12*12,,,,,12*,,
24,"5,358.0  658.00",14,0.0,-342.00,1,114.0,50.0,1.0,CAR,12 1,,96254.0
25,0,,,,12*12,,,,,12*,,
26,"5,358.0  658.00",14,0.0,-342.00,1,114.0,50.0,1.0,CAR,-,,96259.0
27,0,,,,12*12,,,,,12 1,,
28,,,,,,,,,,12*,,
29,"117,791 8,429.11",,0.0,"7,518.60",,,,,,,,
30,.40,,,-,,,,,,,,
