,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,%,,,,,,,,,,,,
1,.,,,,,,,,,,,,,
2,"3,854.0  183.52",5,0.0,-246.00,1.0,,20.5,200.0,24.0,CAR,1.0,,,95223.0
3,0,,,,24.0,,,,,,,24,,
4,"7,478.6  356.13",5,0.0,-477.36,2.0,,25.5,312.0,15.0,CAR,,,,92130.0
5,4,,,,15.0,,,,,,,,,
6,,,,,,,,,,,,15 2,,
7,"7,478.6  356.13",5,0.0,-477.36,2.0,,25.5,312.0,15.0,CAR,,,,92132.0
8,4,,,,15.0,,,,,,,15  2,,
9,"4,265.2  203.11",5,0.0,-272.25,5.0,,37.5,121.0,9.0,CAR,5.0,,,91682.0
10,5,,,,,,,,,,,9 *,,
11,".12,464  593.54",5,0.0,-795.60,2.0,,25.5,520.0,15.0,CAR,,,,92116.0
12,40,,,,15.0,,,,,,,2,,
13,,,,,,,,,,,,15,,
14,"9,971.5  474.83",5,0.0,-636.48,2.0,,25.5,416.0,15.0,CAR,,,,92117.0
15,2,,,,15.0,,,,,,,15,2.0,
16,"9,971.5  474.83",5,0.0,-636.48,2.0,,25.5,416.0,15.0,CAR,,,,92112.0
17,2,,,,15.0,,,,,,2.0,,,
18,,,,,,,,,,,,15,,
19,"228,014 10,857.8",,0.0,"14,554.1",,,,,,,,,,
20,.15  2,,,-0,,,,,,,,,,
